date,cart,purchase,view,cart_user_rate,purchase_user_rate
2019-10-01,8771,14064,190158,0.0461248014808738,0.07395954942731833
2019-10-02,8862,13894,184955,0.04791435754643021,0.07512097537238788
2019-10-03,9793,13722,170655,0.057384782162843165,0.08040784037971346
2019-10-04,21714,19214,209393,0.10369974163415205,0.09176046954769261
2019-10-05,17457,16734,194949,0.0895464967760799,0.0858378345105643
2019-10-06,15809,16096,193194,0.08182966344710499,0.08331521682867998
2019-10-07,9377,15438,186939,0.050160747623556344,0.08258308860109448
2019-10-08,9757,16590,221194,0.044110599745020206,0.07500203441323001
2019-10-09,9586,16417,214133,0.044766570309106954,0.07666730489929156
2019-10-10,9981,15959,205307,0.048615000949797135,0.07773237152167242
2019-10-11,10963,18818,230514,0.0475589335137996,0.08163495492681573
2019-10-12,10422,18374,208349,0.0500218383577555,0.08818856821966987
2019-10-13,12518,21320,225923,0.05540825856597159,0.09436843526334193
2019-10-14,22612,19388,209077,0.10815154225476738,0.092731386044376
2019-10-15,24606,18582,230118,0.10692775011081271,0.0807498761504967
