feature,high_score_mean,low_score_mean,difference,standardized_diff,abs_standardized_diff
user_last_purchase_gap_hours,100.33488994717844,191.9923813968931,-91.65749144971467,-2.463848187911254,2.463848187911254
user_purchase_category_nunique_7d,0.8526959825316488,5.0486564263085486e-05,0.8526454959673857,2.2921440081142017,2.2921440081142017
user_purchase_brand_nunique_7d,0.8199901551199686,5.0486564263085486e-05,0.8199396685557055,2.2068012253536655,2.2068012253536655
user_purchase_item_nunique_7d,1.0445512375519066,5.0486564263085486e-05,1.0445007509876436,2.082853991883268,2.082853991883268
user_active_hours_7d,3.719354655492307,1.0346968912898056,2.684657764202502,1.852749493780215,1.852749493780215
user_purchase_rate_7d,0.16679789667277872,3.063505113051282e-08,0.1667978660377276,1.7252396290875,1.7252396290875
user_last_cart_gap_hours,139.05174368672525,191.98920169697965,-52.9374580102544,-1.708104899590106,1.708104899590106
user_active_days_7d,2.431524441807924,1.026107864544548,1.405416577263376,1.6852317806387354,1.6852317806387354
user_last_event_gap_hours,36.21446455755538,117.47062996714165,-81.25616540958626,-1.6757557307683069,1.6757557307683069
user_last_view_gap_hours,36.227043909111565,117.48044816817915,-81.2534042590676,-1.675535285025505,1.675535285025505
user_purchase_cnt_7d,1.350616567166063,5.0486564263085486e-05,1.3505660806018,1.6332021297825046,1.6332021297825046
user_cart_category_nunique_7d,0.42613815648310593,7.888525666107107e-05,0.4260592712264449,1.616415280648665,1.616415280648665
user_cart_brand_nunique_7d,0.44077294929886784,7.888525666107107e-05,0.4406940640422068,1.589109712198742,1.589109712198742
user_view_cnt_7d,28.2716082495046,1.2586300470787213,27.012978202425877,1.549435409383328,1.549435409383328
user_session_cnt_7d,4.863702053541002,1.0404144946926,3.823287558848402,1.5289005726023344,1.5289005726023344
user_cart_item_nunique_7d,0.5337187141072082,7.888525666107107e-05,0.5336398288505471,1.4967175775710924,1.4967175775710924
user_unique_item_cnt_7d,13.874140150702395,1.1319403248810411,12.742199825821354,1.4075371643567796,1.4075371643567796
user_view_item_nunique_7d,13.873717325726691,1.1318803720859787,12.741836953640712,1.4074933315602658,1.4074933315602658
user_unique_brand_cnt_7d,5.409780509661866,0.8681606482474852,4.541619861414381,1.3795870958067267,1.3795870958067267
user_view_brand_nunique_7d,5.409632205379343,0.8681006954524227,4.54153150992692,1.3795504045945017,1.3795504045945017
user_view_per_active_day_7d,10.809766761088563,1.2135597445379849,9.596207016550578,1.236999160916412,1.236999160916412
user_purchase_per_cart_7d,0.36925493991871294,4.180918603036767e-05,0.3692131307326826,1.2165925526992387,1.2165925526992387
user_unique_category_cnt_7d,3.5351134054449758,1.020421815244418,2.5146915902005578,1.1528316753282544,1.1528316753282544
user_view_category_nunique_7d,3.5349903444445845,1.0203618624493556,2.5146284819952287,1.1527884149935275,1.1527884149935275
user_unique_category_code_cnt_7d,1.9571842380946372,0.5864834845826654,1.3707007535119717,1.1233707183798032,1.1233707183798032
user_cart_cnt_7d,0.9842765906423153,0.00012937182092415657,0.9841472188213911,1.0606584240201755,1.0606584240201755
user_price_min_7d,146.79938362215856,419.655305191281,-272.8559215691224,-0.8675477268530631,0.8675477268530631
user_cart_rate_7d,0.11954027345203998,6.91003689623764e-07,0.11953958244835035,0.7981636039630925,0.7981636039630925
user_price_std_7d,137.786463871632,26.7850716806966,111.0013921909354,0.6163367676682805,0.6163367676682805
user_price_median_7d,273.95587919196254,443.25556376137524,-169.2996845694127,-0.47032687059879813,0.47032687059879813
user_price_mean_7d,298.2398663793383,444.66924044954334,-146.42937407020503,-0.4148532016886084,0.4148532016886084
user_price_max_7d,670.0610950220247,473.06765780206734,196.99343721995734,0.3543872090664151,0.3543872090664151
